CODE_5DIGIT,SIGUNGU,PM10_14,PM10_15,PM10_16,PM10_17,PM10_18,MOR_14,MOR_15,MOR_16,MOR_17,MOR_18
41285,"Ilsandong-gu, Goyang-si",53,59.5,57.5,54.5,47.5,46,78,97,104,125
41290,Gwacheon-si,49.5,47.5,48,45.5,41,6,20,25,22,21
41310,Guri-si,52,53,59,58.5,43,43,34,45,61,90
41360,Namyangju-si,48,48.5,45,43.5,38.25,159,180,203,251,303
41370,Osan-si,54,54,54,49,47,42,46,45,41,65
41390,Siheung-si,57.67,56,52.67,52,49,75,85,105,111,118
41410,Gunpo-si,56.5,55.5,51,51,46,60,65,82,99,108
41430,Uiwang-si,56,52.5,49.5,49,43.5,33,44,41,49,66
41450,Hanam-si,45,47,52,51,48,47,49,61,75,78
41461,"Cheoin-gu, Yongin-si",70,63,53,54,43,96,78,102,116,143
41463,"Giheung-gu, Yongin-si",52,55.5,52.5,53,45,87,82,105,126,153
41465,"Suji-gu, Yongin-si",50,51,46,49,41,56,67,79,88,135
41480,Paju-si,57,54.5,59,48.33,44,151,138,140,165,220
41500,Icheon-si,68,59.5,58,55.5,48.5,75,76,84,93,135
41550,Anseong-si,59,51,51,56,50,84,100,97,127,157
41570,Gimpo-si,57,57,61.33,63.3,42.67,92,95,124,142,185
41590,Hwaseong-si,54,56,56.67,56,46.2,131,103,150,162,227
41610,Gwangju-si,51,54,52,56,45,65,65,87,106,139
41650,Pocheon-si,67,56.5,48,45.5,39.33,96,76,72,100,115
41670,Yeoju-si,68,57,54,57,44,66,63,70,92,107
41800,Yeoncheon-gun,54,51,47,45,30,27,44,42,36,53
41820,Gapyeong-gun,52,50,48,45,34,39,49,56,79,69
41830,Yangpyeong-gun,49,47,46,46,39,54,53,66,76,96
42110,Chuncheon-si,49.5,57,49,44.5,40,146,141,213,148,193
42130,Wonju-si,62,58.5,52,50,41,168,211,249,223,268
42150,Gangneung-si,45,48,47,44,36,108,140,129,101,164
42170,Donghae-si,41,40,37,36,34,50,51,67,56,63
42230,Samcheok-si,45,65,43,38,32,50,52,55,57,76
43130,"Sangdang-gu, Cheongju-si",50,46.5,45,46.5,48,151,168,163,172,190
43150,"Heungdeok-gu, Cheongju-si",55,46,40,41,42,96,111,100,113,125
43111,"Cheongwon-gu, Cheongju-si",47.5,52,46,42.5,42,92,98,101,119,113
